date,county,state,fips,cases,deaths
4/10/20,Hawaii,Hawaii,15001,41,0
4/10/20,Honolulu,Hawaii,15003,343,5
4/10/20,Maui,Hawaii,15009,66,3
4/13/20,Hawaii,Hawaii,15001,40,0
4/13/20,Honolulu,Hawaii,15003,352,6
4/13/20,Kauai,Hawaii,15007,21,0
4/13/20,Maui,Hawaii,15009,86,3
4/16/20,Hawaii,Hawaii,15001,41,0
4/16/20,Honolulu,Hawaii,15003,373,6
4/16/20,Kauai,Hawaii,15007,21,0
4/16/20,Maui,Hawaii,15009,95,3
4/21/20,Hawaii,Hawaii,15001,64,0
4/21/20,Honolulu,Hawaii,15003,385,7
4/21/20,Kauai,Hawaii,15007,21,0
4/21/20,Maui,Hawaii,15009,110,5
4/25/20,Hawaii,Hawaii,15001,69,0
4/25/20,Honolulu,Hawaii,15003,395,9
4/25/20,Kauai,Hawaii,15007,21,0
4/25/20,Maui,Hawaii,15009,112,5
